Proveedor,Precio Promedio ($/u),Tiempo de Entrega (dias),Nivel de Calidad (%),Volumen de Compra Anual ($),Distancia al CD (km),Riesgo Financiero (1-10)
Proveedor 0252,55.39,6,95.4,571344,186,2.3
Proveedor 0253,52.57,18,71.5,67150,455,9.1
Proveedor 0254,59.49,3,96.1,562907,185,2.7
Proveedor 0255,58.49,5,95.7,578419,135,3.0
Proveedor 0256,22.47,9,82.0,241132,475,5.2
Proveedor 0257,47.01,19,67.0,55273,379,10.0
Proveedor 0258,34.00,11,88.9,234569,538,4.1
Proveedor 0259,66.91,4,100.0,602391,228,1.0
Proveedor 0260,32.94,11,79.4,243544,605,5.3
Proveedor 0261,59.30,4,94.6,524230,105,2.4
Proveedor 0262,59.66,23,61.4,39860,401,8.0
Proveedor 0263,29.35,9,86.2,226136,636,4.5
Proveedor 0264,53.49,6,98.5,509583,247,2.9
Proveedor 0265,49.40,23,72.4,61826,309,8.5
Proveedor 0266,28.01,9,79.7,200433,591,4.7
Proveedor 0267,40.45,25,66.6,42207,378,8.5
Proveedor 0268,25.89,8,91.8,233215,502,3.5
Proveedor 0269,59.78,5,99.2,710606,149,2.4
Proveedor 0270,60.59,6,95.8,497123,178,2.0
Proveedor 0271,52.46,5,97.5,488644,221,2.2
Proveedor 0272,44.17,20,68.3,64606,368,6.9
Proveedor 0273,50.84,18,70.4,50124,379,7.7
Proveedor 0274,62.24,8,97.3,461485,203,1.0
Proveedor 0275,29.04,9,82.5,254931,587,4.6
Proveedor 0276,49.65,24,73.3,43543,280,9.6
Proveedor 0277,29.74,9,82.4,191149,479,4.4
Proveedor 0278,33.06,12,86.8,222484,750,4.0
Proveedor 0279,60.72,3,99.0,615729,181,2.1
Proveedor 0280,47.14,20,68.6,62597,429,8.3
Proveedor 0281,32.92,7,79.9,160285,636,4.0
Proveedor 0282,29.43,8,79.6,265153,598,4.2
Proveedor 0283,54.65,5,97.2,649059,219,1.9
Proveedor 0284,30.07,10,85.8,169339,800,2.4
Proveedor 0285,28.31,8,87.8,165066,598,3.9
Proveedor 0286,30.69,11,83.2,227546,555,3.8
Proveedor 0287,42.19,18,68.9,47359,381,7.2
Proveedor 0288,26.70,11,90.0,254916,602,4.0
Proveedor 0289,26.84,11,80.9,205118,628,5.3
Proveedor 0290,62.86,5,96.3,629386,252,1.5
Proveedor 0291,60.73,6,94.5,498782,197,1.7
Proveedor 0292,63.96,6,94.6,486912,191,1.1
Proveedor 0293,25.37,10,83.0,167565,562,5.5
Proveedor 0294,40.99,16,64.1,95756,366,6.2
Proveedor 0295,31.37,12,88.0,240493,564,3.5
Proveedor 0296,27.71,10,83.7,212521,571,4.0
Proveedor 0297,53.20,19,67.1,47682,393,9.1
Proveedor 0298,61.41,5,96.1,649999,148,2.0
Proveedor 0299,50.10,19,70.5,64058,498,8.1
Proveedor 0300,34.56,8,85.4,284739,575,5.9
Proveedor 0301,53.29,18,63.6,68695,365,9.2
Proveedor 0302,58.61,6,100.0,564976,199,3.0
Proveedor 0303,41.40,25,69.9,35247,300,8.0
Proveedor 0304,43.72,19,65.8,77984,330,8.3
Proveedor 0305,36.67,20,73.5,75051,393,7.7
Proveedor 0306,55.32,7,97.3,528022,151,1.5
Proveedor 0307,67.96,6,96.5,682244,262,2.1
Proveedor 0308,20.75,10,82.5,198641,472,5.2
Proveedor 0309,31.68,8,80.8,207027,624,4.6
Proveedor 0310,52.28,24,71.5,69003,434,8.7
Proveedor 0311,29.64,10,85.1,237989,580,3.4
Proveedor 0312,49.91,22,58.3,70331,341,8.4
Proveedor 0313,63.78,6,96.1,560062,203,2.9
Proveedor 0314,26.40,10,80.0,133146,604,4.0
Proveedor 0315,42.94,25,75.9,36268,360,8.4
Proveedor 0316,39.27,17,81.1,60728,461,6.9
Proveedor 0317,27.57,13,83.3,154209,492,2.4
Proveedor 0318,59.30,6,97.9,464814,242,1.7
Proveedor 0319,60.30,4,97.6,544858,244,2.3
Proveedor 0320,31.88,10,81.7,191661,490,3.3
Proveedor 0321,53.71,21,65.1,56869,549,8.1
Proveedor 0322,28.21,12,88.0,227016,544,4.6
Proveedor 0323,61.94,5,97.6,362850,80,2.7
Proveedor 0324,35.48,11,83.2,230896,412,3.2
Proveedor 0325,30.55,11,87.6,207395,529,4.4
Proveedor 0326,44.94,24,69.3,75465,335,7.0
Proveedor 0327,46.90,21,68.0,42302,363,7.2
Proveedor 0328,64.98,4,95.3,660479,233,2.4
Proveedor 0329,37.75,20,64.5,59899,302,7.7
Proveedor 0330,58.13,3,96.7,663775,184,2.5
Proveedor 0331,28.76,7,88.1,204985,571,3.6
Proveedor 0332,33.45,10,86.9,212633,425,3.9
Proveedor 0333,21.81,9,82.2,205706,681,3.9
Proveedor 0334,42.21,21,62.5,33235,430,8.8
Proveedor 0335,47.87,25,72.4,58829,251,9.0
Proveedor 0336,59.26,5,94.2,583502,237,1.3
Proveedor 0337,62.93,5,97.7,627206,185,2.5
Proveedor 0338,28.66,10,84.4,138566,485,3.6
Proveedor 0339,36.01,11,83.7,156674,517,5.1
Proveedor 0340,51.01,22,70.6,72224,416,7.6
Proveedor 0341,46.62,22,56.7,44285,296,8.5
Proveedor 0342,26.27,6,79.7,255022,574,5.3
Proveedor 0343,57.01,3,97.6,764742,279,2.5
Proveedor 0344,51.83,22,61.5,37304,303,8.4
Proveedor 0345,58.17,5,97.8,809440,270,2.1
Proveedor 0346,59.47,7,96.6,585435,136,2.3
Proveedor 0347,61.61,6,96.3,711506,285,1.8
Proveedor 0348,30.17,9,86.2,177068,621,2.2
Proveedor 0349,43.76,20,69.3,62104,199,9.1
Proveedor 0350,26.47,11,91.5,170298,501,4.5
Proveedor 0351,56.16,5,94.9,628423,210,2.3
Proveedor 0352,52.89,26,60.8,46382,324,6.8
Proveedor 0353,35.47,8,87.1,276961,540,4.3
Proveedor 0354,46.50,19,69.6,44475,315,8.7
Proveedor 0355,63.34,4,96.7,445503,286,1.3
Proveedor 0356,53.44,7,100.0,730110,241,2.1
Proveedor 0357,54.86,21,74.3,46428,334,8.2
Proveedor 0358,55.93,6,94.6,561901,131,2.9
Proveedor 0359,31.26,11,76.8,211059,636,3.8
Proveedor 0360,51.29,17,63.2,77811,351,7.0
Proveedor 0361,49.28,19,74.6,54972,343,8.1
Proveedor 0362,50.24,22,66.8,69018,272,8.6
Proveedor 0363,26.34,10,85.1,224803,485,2.7
Proveedor 0364,24.27,12,79.1,186846,530,4.8
Proveedor 0365,55.86,5,96.5,515751,233,1.8
Proveedor 0366,57.95,6,97.4,602969,210,1.9
Proveedor 0367,58.10,7,96.5,665685,182,2.6
Proveedor 0368,57.13,6,97.3,608746,201,3.0
Proveedor 0369,40.29,21,71.5,38328,299,7.7
Proveedor 0370,57.02,3,99.3,636258,243,1.9
Proveedor 0371,60.53,8,96.5,549641,206,1.5
Proveedor 0372,52.23,7,97.7,638274,152,2.6
Proveedor 0373,45.12,16,61.1,69002,374,7.8
Proveedor 0374,45.98,18,70.7,57317,399,8.3
Proveedor 0375,33.15,6,87.7,223538,560,2.8
Proveedor 0376,61.66,6,98.7,644244,182,2.0
Proveedor 0377,43.15,18,65.6,63915,348,7.9
Proveedor 0378,48.12,20,77.7,54697,348,7.5
Proveedor 0379,48.69,28,68.5,29819,328,6.5
Proveedor 0380,58.15,3,96.5,741781,210,1.4
Proveedor 0381,28.32,10,82.1,142983,501,5.2
Proveedor 0382,60.98,4,94.6,567220,216,1.4
Proveedor 0383,56.13,7,97.3,464563,214,1.3
Proveedor 0384,30.51,10,79.9,144059,611,4.7
Proveedor 0385,65.88,6,93.1,575392,221,1.1
Proveedor 0386,40.50,20,69.5,60226,430,7.5
Proveedor 0387,61.01,8,96.5,424240,238,2.4
Proveedor 0388,63.38,6,98.3,694700,216,1.7
Proveedor 0389,48.44,24,68.2,67039,324,8.0
Proveedor 0390,36.75,24,64.8,56147,399,7.7
Proveedor 0391,56.34,7,96.6,588913,213,2.0
Proveedor 0392,30.39,9,87.8,241604,445,4.4
Proveedor 0393,28.49,10,79.0,146521,461,1.4
Proveedor 0394,63.77,6,98.8,652631,196,2.0
Proveedor 0395,60.71,4,95.2,617817,190,4.0
Proveedor 0396,29.38,9,80.2,205876,578,5.2
Proveedor 0397,37.27,21,62.8,56403,337,6.7
Proveedor 0398,34.30,12,83.5,181774,595,3.9
Proveedor 0399,26.96,8,80.8,188093,621,6.5
Proveedor 0400,31.42,11,88.1,219855,583,4.4
Proveedor 0401,26.38,12,86.3,159100,505,5.0
Proveedor 0402,55.01,23,67.8,34688,303,8.5
Proveedor 0403,52.63,19,65.5,51308,334,9.1
Proveedor 0404,31.73,12,83.5,183199,538,4.4
Proveedor 0405,43.80,25,63.9,61324,344,7.8
Proveedor 0406,26.83,14,83.8,217242,626,2.8
Proveedor 0407,61.86,4,94.8,486347,255,2.0
Proveedor 0408,62.64,5,93.7,549189,204,2.8
Proveedor 0409,51.92,20,67.2,58715,395,9.3
Proveedor 0410,34.92,22,70.8,74396,253,6.6
Proveedor 0411,61.29,5,97.6,462761,220,2.3
Proveedor 0412,57.30,24,68.4,50537,469,7.6
Proveedor 0413,66.58,4,99.3,605433,192,3.2
Proveedor 0414,60.82,6,95.1,583979,137,1.8
Proveedor 0415,41.11,20,71.1,40259,410,8.7
Proveedor 0416,34.16,11,88.3,224789,466,4.1
Proveedor 0417,38.52,19,69.9,61188,298,6.9
Proveedor 0418,55.83,5,99.5,479242,203,1.0
Proveedor 0419,43.63,23,58.5,71745,429,6.8
Proveedor 0420,36.52,18,67.5,50600,343,7.0
Proveedor 0421,27.75,10,83.6,201387,579,4.2
Proveedor 0422,61.37,6,96.7,626387,162,2.0
Proveedor 0423,23.04,8,82.8,300138,501,4.7
Proveedor 0424,60.32,6,98.3,561038,244,2.1
Proveedor 0425,43.48,24,68.0,63957,350,7.5
Proveedor 0426,65.07,5,98.2,620169,177,1.0
Proveedor 0427,30.18,11,79.8,214735,591,6.7
Proveedor 0428,23.86,12,85.2,234391,619,3.6
Proveedor 0429,25.64,12,83.4,234055,601,5.1
Proveedor 0430,61.95,7,94.5,578772,166,3.0
Proveedor 0431,35.23,19,59.9,38394,450,8.0
Proveedor 0432,57.76,19,63.9,61882,419,7.3
Proveedor 0433,67.76,3,95.0,512851,239,3.1
Proveedor 0434,33.25,9,79.5,193682,648,5.3
Proveedor 0435,55.55,6,95.7,686895,240,1.0
Proveedor 0436,17.84,13,87.5,198146,502,5.4
Proveedor 0437,28.25,10,78.6,255662,416,4.4
Proveedor 0438,60.71,7,98.1,499618,36,2.7
Proveedor 0439,31.17,11,76.7,248700,618,4.3
Proveedor 0440,53.38,5,94.5,605033,214,1.9
Proveedor 0441,53.49,6,96.9,578912,172,1.8
Proveedor 0442,59.00,4,97.7,563110,274,3.0
Proveedor 0443,49.31,24,64.5,74842,423,7.0
Proveedor 0444,65.50,6,96.0,604202,148,2.3
Proveedor 0445,65.08,5,96.0,554240,160,2.0
Proveedor 0446,68.99,7,93.2,434212,242,1.9
Proveedor 0447,60.04,23,71.7,75027,349,8.6
Proveedor 0448,56.29,4,96.0,632161,283,2.6
Proveedor 0449,34.80,8,76.5,249400,733,2.9
Proveedor 0450,28.50,9,78.6,224344,531,4.2
Proveedor 0451,64.19,5,96.7,587526,188,3.7
Proveedor 0452,55.85,23,65.3,52348,360,6.4
Proveedor 0453,29.94,7,83.8,105148,587,4.3
Proveedor 0454,29.97,13,82.5,164696,502,3.8
Proveedor 0455,50.09,27,65.2,66599,299,8.7
Proveedor 0456,55.69,7,99.1,601748,211,1.8
Proveedor 0457,31.77,9,85.1,141793,463,4.9
Proveedor 0458,45.47,20,63.4,97549,384,6.9
Proveedor 0459,46.47,21,74.2,47332,354,8.4
Proveedor 0460,44.14,25,64.4,65765,313,7.7
Proveedor 0461,58.22,6,98.3,675330,205,1.4
Proveedor 0462,29.94,11,80.1,219978,545,4.1
Proveedor 0463,54.34,20,74.0,64964,362,6.5
Proveedor 0464,26.98,10,84.6,192585,402,4.8
Proveedor 0465,26.97,9,89.7,250506,598,4.3
Proveedor 0466,62.82,7,97.0,614893,195,1.6
Proveedor 0467,58.40,6,95.8,487227,193,2.4
Proveedor 0468,28.63,11,82.2,139700,657,4.6
Proveedor 0469,20.31,8,82.5,134071,640,3.8
Proveedor 0470,30.03,11,88.9,219603,542,4.0
Proveedor 0471,47.70,21,67.0,83856,354,7.5
Proveedor 0472,56.22,5,95.3,479795,264,1.6
Proveedor 0473,41.51,22,63.4,71809,402,8.3
Proveedor 0474,52.21,19,74.1,34031,383,9.6
Proveedor 0475,52.94,24,64.0,87219,329,9.2
Proveedor 0476,24.48,12,86.3,201572,509,4.9
Proveedor 0477,29.51,12,81.2,193842,758,2.2
Proveedor 0478,29.27,9,87.8,213906,568,2.1
Proveedor 0479,61.80,3,93.8,497636,222,2.7
Proveedor 0480,42.18,20,62.0,53359,335,8.4
Proveedor 0481,45.35,21,63.5,49576,367,8.4
Proveedor 0482,44.72,19,68.4,82020,369,7.9
Proveedor 0483,47.67,22,64.5,30394,237,7.8
Proveedor 0484,61.73,4,96.0,529943,167,3.3
Proveedor 0485,31.53,10,87.0,236629,610,2.8
Proveedor 0486,34.21,25,60.9,57857,422,6.3
Proveedor 0487,56.64,23,75.7,77448,403,6.9
Proveedor 0488,24.12,8,80.3,225059,809,5.2
Proveedor 0489,32.17,23,68.3,53674,425,8.4
Proveedor 0490,23.36,11,82.5,175585,562,4.8
Proveedor 0491,54.48,6,95.6,701556,228,1.3
Proveedor 0492,53.83,22,61.4,37172,310,7.7
Proveedor 0493,45.62,19,67.3,56848,295,9.5
Proveedor 0494,69.64,4,95.3,724984,218,2.8
